nom_site,id_site,id_flux,longitude,latitude
Tortière_nord,200000165,201000165,-1.549365044,47.23544693
St Florent le Vieil,200000169,200000169,-1.0286237,47.36404419
Logger,200000297,251000297,0.83224,48.40516
Bobigny,200000303,200000303,2.4426517,48.899834
pavillon_sous_bois  4015,200000305,200000305,2.5021095,48.914482
LAGOUBRAN,200000361,251000361,5.89373,43.12122
D601 Pont à Roseaux,200000433,200000433,2.24931125,51.00219266
Avenue du 6 Juin 1944,200000442,200000442,2.406807326,51.03417491
Voie verte pontorson Mont St Michel,200000527,251000527,-1.5203,48.57657
Lyon 7_Pont Raymond Barre_ID926-927_3G_,200000535,353479620,4.821243,45.732002
Eleu dit leauwette,200000613,251000613,2.81316,50.41736
Groffliers,200000615,251000615,1.60443,50.391567
Capinghem direction La Chapelle Armentières,200000621,353467941,2.96067,50.64649
Croix,200000624,353510897,3.152265,50.668297
Haubourdin direction Loos,200000627,353421198,2.989428,50.61146
LIL - GdBoulevard,200000630,200000630,3.0874739,50.656063
LIL-CORB-01-Vers Lille Flandres,200000631,353278800,3.0738642,50.638866
Lille façade de l'Esplanade,200000633,200000633,3.053248,50.63913
Mons En Baroeul,200000636,200000636,3.097252091,50.64201879
Roubaix  Av. Gustave Delory direction parc Barbieu,200000639,201000639,3.185241,50.67032
Roubaix Av. Gustave Delory direction Hem,200000642,353467933,3.185241,50.67032
Tourcoing Av Allende sens descendant,200000645,201000645,3.16406,50.721878
Villeneuve d'Ascq Bd Van Gogh,200000649,200000649,3.131189,50.621346
RN2002 Bras Panon Nord,200000668,200000668,MISSING,MISSING
RN6 Bd Sud Gir. Cerf,200000671,200000671,MISSING,MISSING
RN6 Bd Sud Digue Finette,200000672,200000672,MISSING,MISSING
RN6 Bd Sud Foucques/Foucherolles,200000673,200000673,MISSING,MISSING
Lyon 8_A.Thomas_Manufacture des Tabacs_ID1049-1050_EVO_,200000698,353254434,4.860393405,45.74932982
V300 - Véloroutes Perpignan/Thuir  - Ponteilla (Vélos + Piétons),200000703,202000703,2.80805,42.63446
Cocquerel,200000831,251000831,1.95448415,50.04172651
Lomme,200000854,200000854,3.017531,50.64161
Vallauris,200000856,200000856,7.06393,43.55889
Villeneuve Loubet,200000857,200000857,7.143709,43.64267
Pont Tramway,200000906,200000906,0.688110039,47.37171534
Pont Napoléon OUEST,200000907,200000907,0.6768,47.39607
Villarcher GSM Juin 2017,200000942,200000942,5.88331,45.61568
Beauvais,200000967,251000967,2.05373,49.43154
Vétraz-M/  Ecole F. Dolto,200000974,251000974,6.26771,46.18777
