nom_site,id_site,id_flux,longitude,latitude,pred_wd_wp,pred_wd_ho,pred_jul_aug,pred_pont_jul_aug,pred_wp_17_9,pred_we_09_11,prop_ww_year,prop_hd_year,prop_nh_we,prop_summer_year,prop_fall_year,prop_winter_year,prop_spring_year,prop_ph_01,heure_ph_01,prop_ph_02,heure_ph_02,prop_ph_03,heure_ph_03,prop_ph_04,heure_ph_04,prop_ph_05,heure_ph_05,prop_ph_06,heure_ph_06,prop_ph_07,heure_ph_07,prop_ph_08,heure_ph_08,prop_ph_09,heure_ph_09,prop_ph_10,heure_ph_10,prop_ph_11,heure_ph_11,prop_ph_12,heure_ph_12,cluster,scaled_pred_wd_wp,scaled_pred_wd_ho,scaled_pred_jul_aug,scaled_pred_pont_jul_aug,scaled_pred_wp_17_9,scaled_pred_we_09_11,scaled_prop_ww_year,scaled_prop_hd_year,scaled_prop_nh_we,scaled_prop_summer_year,scaled_prop_fall_year,scaled_prop_winter_year,scaled_prop_spring_year,scaled_prop_ph_01,scaled_heure_ph_01,scaled_prop_ph_02,scaled_heure_ph_02,scaled_prop_ph_03,scaled_heure_ph_03,scaled_prop_ph_04,scaled_heure_ph_04,scaled_prop_ph_05,scaled_heure_ph_05,scaled_prop_ph_06,scaled_heure_ph_06,scaled_prop_ph_07,scaled_heure_ph_07,scaled_prop_ph_08,scaled_heure_ph_08,scaled_prop_ph_09,scaled_heure_ph_09,scaled_prop_ph_10,scaled_heure_ph_10,scaled_prop_ph_11,scaled_heure_ph_11,scaled_prop_ph_12,scaled_heure_ph_12
Bogny_Sur_Meuse,100003996,151003996,4.738765137,49.86696391,0.1879506172839506,0.0,0.5377777777777778,0.2902969084787266,0.0952881415309161,0.2673891625615763,0.1879506172839506,0.0710781893004115,0.0157635467980295,0.5377777777777778,0.0105349794238683,0.0669629629629629,0.3847242798353909,0.4186438342036064,14.0,0.41871422588301,14.0,0.2696104104372362,14.0,0.2551586036548466,14.0,0.222552912875218,13.0,0.2085359587654995,14.0,0.1741411252872085,14.0,0.172948485113984,15.0,0.0051041666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-1.5533998008582408,0.0,2.041799200245019,0.5587279154739608,-1.2702299459617252,-0.04967683808332316,-1.5533998008582408,1.6515992242854944,-0.7771632367262409,2.041799200245019,-1.922736352206153,-0.9308897984639086,0.8422532679508373,1.398700272351308,0.5290107884203212,1.5897774364317223,0.5177704967555559,0.6035432487385679,0.4020277400944075,0.843213089632354,0.36479701455947894,0.6698263968985765,0.24813913445514454,0.73574627332185,0.48040968212695906,0.4384448904691303,0.50104686469446,0.5235204639918049,0.6835649761512513,-1.836102893887186,-2.1140165838487834,-1.7607381476001873,-2.178035633578955,-1.6470933195941806,-2.0936450523126613,-1.523327752161978,-2.1480254676885364
Sedan (Glaire),100027372,151027372,4.919424,49.71289,0.2303916260602779,0.0,0.4921133369427901,0.298811794044301,0.1406861977126743,0.2973869763583575,0.2303916260602779,0.0313661793900018,0.0177312318540024,0.4921133369427901,0.2584731997834326,0.074029958491247,0.1753835047825302,0.1314080102978728,0.0,0.4532215257838757,14.0,0.2803788432312336,15.0,0.2273076149665927,14.0,0.0,0.0,0.091257986091764,0.0,0.1779116209792408,14.0,0.160742726343025,15.0,0.1974668197037101,14.0,0.2364668313975306,15.0,0.1052113850001853,0.0,0.0,0.0,1,-1.2168656665537165,0.0,1.7050558841227543,0.6471356506625859,-0.9943521562555361,0.3123680440999665,-1.2168656665537165,-0.36268866702209435,-0.754776899443341,1.7050558841227543,0.34910518516626915,-0.8894229002002794,-1.0825101413928067,-0.7561789070592754,-2.4853627857096963,1.8658410581411777,0.5177704967555559,0.7019820593811774,0.6167394334445929,0.5313446376030773,0.36479701455947894,-2.043202254721418,-2.5066980732398396,-0.8657624757296484,-2.345962547058432,0.4941418789439644,0.50104686469446,0.3396043909496787,0.6835649761512513,0.4473346800337342,0.488155524611762,0.5745479703885052,0.564910033722457,-0.7481620533140506,-2.0936450523126613,-1.523327752161978,-2.1480254676885364
Brétignolles Sur Mer,200000083,200000083,-1.90635,46.66306,0.2458014227849824,0.0,0.419340345144491,0.2668225133524894,0.1023901182596172,0.262930943372297,0.2458014227849824,0.0614724803431022,0.018410873195375,0.419340345144491,0.1755471595357228,0.0783076347050614,0.3268048606147248,0.2629028644474502,15.0,0.2812525504872657,15.0,0.2436357036539138,15.0,0.205707975418944,15.0,0.17654826578163,15.0,0.1556093221838662,15.0,0.1557210665902653,15.0,0.1439822334942913,15.0,0.1881666092035042,15.0,0.2356438103363441,15.0,0.2243689468597599,15.0,0.2705621293076498,15.0,1,-1.0946743532442715,0.0,1.1684059627791115,0.314999671324209,-1.2270722029382226,-0.1034832738477554,-1.0946743532442715,1.164374747766085,-0.7470446252904294,1.1684059627791115,-0.4107406445382069,-0.8643228469098738,0.3097187974052737,0.23031198239032422,0.7443231865724653,0.4900632291475219,0.7349529012739027,0.3660974391713593,0.6167394334445929,0.28947724016463194,0.5731963144388798,0.10900729073594044,0.6719602433312959,0.012997835478692776,0.6822934127830584,0.16634756408379578,0.6957624391275049,0.08705769681674604,0.6835649761512513,0.3369366907865464,0.6740249609303723,0.5664200242928854,0.564910033722457,0.26992603638357704,0.8110341427250772,0.43737711597067674,0.862111219709404
La Guérinière,200000084,200000084,-2.22776,46.96998,0.2244759896720073,0.0,0.503748971147016,0.2405770177716102,0.1199708674468833,0.2683151525303071,0.2244759896720073,0.0530211633649412,0.0580180481983208,0.503748971147016,0.1567126314958676,0.0342593949780699,0.3052790023790463,0.2848810994723895,13.0,0.293780299969884,14.0,0.2258294494176323,15.0,0.1779719059849643,15.0,0.1725015017696994,15.0,0.1558576160609895,15.0,0.1423072686894179,11.0,0.1423207777875513,11.0,0.179281024794117,15.0,0.212957789851865,15.0,0.2045513053659041,11.0,0.2769809328746831,13.0,1,-1.263773448158979,0.0,1.7908605490977512,0.04249984671240717,-1.120236390238587,-0.03850102602571197,-1.263773448158979,0.7357037866861318,-0.2964341092694171,1.7908605490977512,-0.5833201809876306,-1.1227840088195944,0.11180138606345355,0.3951954583141946,0.31369839026817714,0.5902871210189803,0.5177704967555559,0.20332291825903542,0.6167394334445929,-0.02110437460583097,0.5731963144388798,0.05967526192143485,0.6719602433312959,0.016388453575879047,0.6822934127830584,-0.0317983053481776,-0.0830998586046748,0.06202292307993566,-0.0902179317510188,0.2314605134397231,0.6740249609303723,0.34237867186850307,0.564910033722457,0.10060312933576987,0.03645302404834699,0.48389278848432327,0.4607596613896786
La Tranche Sur Mer,200000085,200000085,-1.42239,46.35383,0.2182328959539552,0.0,0.5642879166809415,0.2475259547082751,0.099215070643642,0.369123332086295,0.2182328959539552,0.0491452259412792,0.0256889886519516,0.5642879166809415,0.1268457295556545,0.0402548905409572,0.2686114632224468,0.3786565962101989,14.0,0.3439396318177515,11.0,0.2875776006702988,15.0,0.2395643025613576,12.5,0.196938084442516,11.0,0.1888663820067098,11.0,0.1795218597348369,11.0,0.1734881283853085,11.0,0.2167625599355715,11.0,0.2547673675728628,11.0,0.3095514840691959,14.0,0.281223149864134,11.0,1,-1.3132777884271252,0.0,2.2372929350171593,0.11464876425310702,-1.2463665338452605,1.1781571523904684,-1.3132777884271252,0.5391069929816213,-0.6642415634385158,2.2372929350171593,-0.8569886308216402,-1.087604334012774,-0.22533473880986285,1.0987109972586284,0.5290107884203212,0.99156936715906,-0.13377671679948466,0.767788953844152,0.6167394334445929,0.6685919802368376,0.05219806474037777,0.35756913391134676,-0.17568197442100686,0.46714511531090175,-0.125241509841339,0.5179279953428474,-0.0830998586046748,0.5316517955352195,-0.0902179317510188,0.6763844335405393,-0.06945278434406918,0.7552793982569527,-0.1665421442245862,0.9977298385908927,0.6173888630558947,0.5146352117649794,0.05940810306995319
Les Sables d'Olonne,200000086,353423186,-1.81671,46.50579,0.2173555640882812,0.0,0.432612798728023,0.2831212340925569,0.1275161105720186,0.2597211563059606,0.2173555640882812,0.0636961965074712,0.0328568687643898,0.432612798728023,0.209519277049792,0.0816347500662488,0.2762331741559362,0.2746934576081236,15.0,0.262733457294204,14.0,0.2398272940277068,16.0,0.188848097756082,15.0,0.180193578470399,16.0,0.1595300352788451,15.0,0.1459218722548907,16.0,0.1386567681159962,16.0,0.1860440846090984,16.0,0.2008226756480405,15.0,0.2304830301144143,15.0,0.2312248485213653,14.0,1,-1.3202345533209194,0.0,1.2662810259808703,0.48422484481648803,-1.0743849778383672,-0.1422223295715396,-1.3202345533209194,1.2771669371742393,-0.5826926482229696,1.2662810259808703,-0.09945637554154775,-0.8448003845506519,-0.15525765842420716,0.3187664911955148,0.7443231865724653,0.34190768083343076,0.5177704967555559,0.3312831517801004,0.8314511267947783,0.1006845187652177,0.5731963144388798,0.15344543194458546,0.8838707977693716,0.06653778148029771,0.6822934127830584,0.021595876629714947,0.8904780135605499,0.006813715440659888,0.8770107031268188,0.31174129898924097,0.8598943972489828,0.22253537895120837,0.564910033722457,0.32216506547951507,0.8110341427250772,0.15230840316102925,0.6614354405495413
Saint Hilaire De Riez,200000087,200000087,-1.9813,46.72761,0.2108299133606931,0.0,0.5310533515731874,0.2505044650523785,0.1254731264193792,0.2760665393186883,0.2108299133606931,0.0558538531691746,0.0304441260744985,0.5310533515731874,0.1287733698130415,0.0523996808025535,0.2877735978112175,0.2716163527342157,15.0,0.2799082645519117,15.0,0.2397596909735514,15.0,0.194196607354105,15.0,0.1787183990910769,15.0,0.1601663900946364,14.5,0.1468394122650471,12.0,0.149922175280551,11.0,0.1943960282147984,15.0,0.23048911523394,16.0,0.2763083868422435,15.0,0.2586658042359928,15.0,1,-1.3719794171142488,0.0,1.9922112596560642,0.14557382504578362,-1.0867999136272126,0.05505078863545222,-1.3719794171142488,0.8793845720548454,-0.6101424026787464,1.9922112596560642,-0.8393257904596659,-1.016342539634222,-0.049150354797379774,0.2956816644650473,0.7443231865724653,0.4793087382139208,0.7349529012739027,0.33066516359424525,0.6167394334445929,0.1605758004597397,0.5731963144388798,0.13546227517222806,0.6719602433312959,0.07522762989561789,0.5813515474550087,0.03514958933620919,0.11161571582837014,0.17656059359912143,-0.0902179317510188,0.41088290232765706,0.6740249609303723,0.5155135701235405,0.7477730782092178,0.7136991751294701,0.8110341427250772,0.35116703719662956,0.862111219709404
Saint Jean De Monts,200000088,200000088,-2.11576,46.80991,0.1772770274678671,0.0,0.554919423240034,0.2596925428411863,0.0993237337259051,0.3447976422293563,0.1772770274678671,0.0607832583023422,0.0208936371769906,0.554919423240034,0.1137208847132511,0.058728061590657,0.2726316304560579,0.3129764153942323,13.0,0.3235407315538748,11.0,0.256049524089865,15.0,0.2043418351353353,14.5,0.1900768980934166,15.0,0.1616953929718922,14.5,0.1578580521491435,12.0,0.1476581867462697,11.0,0.2061382988550016,15.0,0.2494279339000088,15.0,0.2959429128101404,11.0,0.2968508869255924,11.0,1,-1.6380355673549316,0.0,2.1682068476661516,0.24097113153801814,-1.2457062031289545,0.8845693736961554,-1.6380355673549316,1.1294157614479117,-0.7187982391538019,2.1682068476661516,-0.9772507172450174,-0.9792095994387002,-0.18837170192064187,0.6059700424023227,0.31369839026817714,0.828375077779308,-0.13377671679948466,0.4795774359938435,0.6167394334445929,0.27417954067277966,0.4689966644991793,0.2739279228900037,0.6719602433312959,0.09610718152346133,0.5813515474550087,0.197914676146871,0.11161571582837014,0.14244687003216802,-0.0902179317510188,0.5502693245861663,0.6740249609303723,0.7025485130818766,0.564910033722457,0.8814575340855904,0.03645302404834699,0.6278860211547039,0.05940810306995319
Sainte Radegonde Des Noyers,200000089,200000089,-1.08337,46.31763,0.2671975122502827,0.0,0.4824255559743686,0.2862584236741869,0.0460236289895961,0.3251543209876543,0.2671975122502827,0.0520637014700339,0.0097222222222222,0.4824255559743686,0.1634941575574821,0.0319920844327176,0.3220882020354316,0.4850230414746543,11.0,0.4305717271234512,10.0,0.3696165062925231,11.0,0.2987594464873545,12.5,0.2431733663299181,14.0,0.2143945841345623,11.0,0.2082804395772408,11.0,0.1994396515071861,12.0,0.2462289397715925,12.0,0.3029883915140515,14.0,0.5047193165647255,13.0,0.5562389223679546,11.0,1,-0.9250149918550276,0.0,1.6336152745473302,0.5167974288674808,-1.5696036631190977,0.6474932996589323,-0.9250149918550276,0.6871390349737122,-0.8458953385323524,1.6336152745473302,-0.5211815055901603,-1.1360878711667388,0.2663519385336662,1.896685411353691,-0.11692640603611104,1.684639240927137,-0.35095912131783147,1.5177413796395514,-0.24210733995614864,1.3314444954740012,0.05219806474037777,0.9211997907995799,0.46004968889322023,0.8157497008373601,-0.125241509841339,0.9427438341249387,-0.0830998586046748,0.9226887078322058,0.10322779522454872,1.0261645900454457,0.11641665197454121,1.231497932330118,0.3820469892356962,2.6652534321834076,0.42374358338671214,2.5076146628852953,0.05940810306995319
Les Brouzils,200000091,200000091,-1.30876,46.86134,0.215183633226522,0.0,0.3273354695587873,0.4420180722891566,0.1844215349369988,0.495752123938031,0.215183633226522,0.0537342864185358,0.0139930034982508,0.3273354695587873,0.2164160709884151,0.1883164900172541,0.2679319694355435,0.5649821480466641,11.0,0.538124656883381,10.0,0.4367799997555281,11.0,0.4572550558142495,12.5,0.4794041228326657,12.0,0.4377110888314254,12.5,0.341103264206111,14.0,0.3239856974830279,16.0,0.4955316124364112,12.0,0.3680911921260338,11.0,0.4395282912752487,10.0,0.5420064010234714,10.0,1,-1.3374567846817138,0.0,0.4899343481566444,2.134007391559039,-0.7285784826604614,2.7064453915785305,-1.3374567846817138,0.7718750894005626,-0.7973066938117684,0.4899343481566444,-0.036261508200241335,-0.21882562067395875,-0.231582278390136,2.4965486582613705,-0.11692640603611104,2.5450789565898506,-0.35095912131783147,2.1317113548049567,-0.24210733995614864,3.1062389520550946,0.05219806474037777,3.8009680333530436,0.03622858001706884,3.8652851585706,0.17758408614281004,2.904775337882378,0.50104686469446,2.799345466222427,0.8770107031268188,3.9855076904555373,0.11641665197454121,1.8744365872476878,-0.1665421442245862,2.1082580945261182,-0.15719225562083558,2.4044746781529933,-0.1412676760899095
