nom_site,id_site,id_flux,longitude,latitude
La Guérinière,200000084,200000084,-2.22776,46.96998
La Tranche Sur Mer,200000085,200000085,-1.42239,46.35383
Saint Hilaire De Riez,200000087,200000087,-1.9813,46.72761
Saint Jean De Monts,200000088,200000088,-2.11576,46.80991
Sainte Radegonde Des Noyers,200000089,200000089,-1.08337,46.31763
Les Brouzils,200000091,200000091,-1.30876,46.86134
Les Epesses,200000092,200000092,-0.950605,46.89322333
Mervent,200000094,200000094,-0.77661,46.52123
Saint Germain De Prinçay,200000099,200000099,-1.0677,46.72215
Maillezais,200000100,200000100,-0.75916,46.37002
Triaize,200000101,200000101,-1.16954,46.38434
Coëx,200000103,200000103,-1.75601,46.70784
Froidfond,200000104,200000104,-1.75477,46.86597
St_Leger,200000157,353272971,4.63545,46.84798
Saint Hilaire Saint Florent,200000168,200000168,-0.136702046,47.29291916
Saint-Rémy-la-Varenne,200000170,200000170,-0.318710804,47.40353424
St Martin du Lac,200000171,353272946,4.04626,46.24759
eurovelo,200000173,200000173,6.96227304,47.57957656
Bourbon Lancy,200000175,353272921,3.74372,46.61052
V6 Caurel-2012,200000176,201000176,-3.032549858,48.21508789
V6 Plemet-2011,200000177,353252398,-2.62361002,48.1838913
V6 Rostrenen-2011,200000178,201000178,-3.35916996,48.26332855
V3-2 Tremereuc-2013,200000180,251000180,-2.058228,48.558465
V 4 Plérin-2013,200000181,251000181,-2.79644,48.55769
V3 Canal Taden-2013,200000182,251000182,-2.023494244,48.46932602
Oudon Mont Piron,200000186,200000186,-1.2525,47.34728
Saint-Brevin,200000187,200000187,-2.163960379,47.26797476
Blain,200000188,251000188,-1.703172897,47.46982672
Briare,200000194,200000194,2.73884,47.6328
Candes,200000195,200000195,0.06798,47.21422
Couargue,200000196,200000196,2.93055,47.28991
Mareau,200000198,200000198,1.798744,47.862764
Mont Louis,200000199,200000199,0.81058,47.39538
Muides,200000200,200000200,1.52534,47.67906
Saint Satur,200000201,200000201,2.86439,47.35251
Savonniéres,200000202,201000202,0.53067,47.34693
Tours,200000203,201000203,0.67566,47.36385
Vouécourt,200000226,251000226,5.136768,48.268845
St-Michel-Chef-Chef,200000231,200000231,-2.14736,47.19184
Kembs,200000245,251000245,7.5005774,47.711266
22. Calorguen (CRT) V2-V3,200000248,251000248,-2.00703,48.40258
22. Glomel (CRT) EV1,200000249,251000249,-3.41363,48.23354
22. Plouasne (CRT) V3,200000250,251000250,-2.00852,48.31386
22. Merleac(CRT) V8,200000251,251000251,-2.87891,48.28304
22. Tremorel (CRT) V6,200000252,251000252,-2.26856,48.19755
29. Chateauneuf du faou (CRT),200000253,251000253,-3.80683,48.17953
29. plourin les morlaix (CRT),200000255,251000255,-3.76831,48.54098
35. St_Germain_sur_Ille (CRT),200000256,251000256,-1.66644,48.25534
35. Tinténiac (CRT),200000257,251000257,-1.81504,48.32146
56. Mauron (CRT),200000258,251000258,-2.29181,48.06922
001- Bricquebec total,200000261,202000261,-1.62557,49.45738
004- Agneaux-total,200000264,202000264,-1.13217,49.12833
APTEST,200000272,200000272,5.4059854,43.877224
PTJULIEN,200000275,200000275,5.308707,43.86386
Audierne,200000276,201000276,-4.583031417,48.0150444
Montcy Notre Dame,200000277,251000277,4.74449461,49.77061774
Crozon,200000282,201000282,-4.456944,48.250833
Plouarzel V5,200000283,201000283,-4.78867,48.41401
DRID_EV1_EV4_V7_Roscoff,200000284,201000284,-3.979427218,48.70798341
D23 Charasse Plaine,200000292,200000292,2.14698,45.91448
RD 59 Lac de Lavaud Gelade,200000293,200000293,1.95489,45.85872
RD67 Toulx Sainte Croix,200000294,200000294,2.20932,46.28166
Mourioux Vieilleville,200000295,200000295,1.6444849,46.08346
